title,thumbnail,tags,release_date,sale price,discount,original price,currency,description,review_sentiment,number_of_review,discount value
V Rising,https://cdn.cloudflare.steamstatic.com/steam/apps/1604030/header.jpg?t=1715248207,"['Survival', 'Open World', 'Base Building', 'Vampire', 'Multiplayer']",2024-05-08,1350.0,10,1500.0,₹,"Awaken as a Vampire. Hunt for blood in nearby settlements to regain your strength and evade the scorching sun to survive. Raise your castle and thrive in an ever-changing, open world full of mystery. Gain allies online and conquer the land of the living.",Very Positive,72967,150.0
Stellaris,https://cdn.cloudflare.steamstatic.com/steam/apps/281990/header.jpg?t=1715273911,"['Space', 'Grand Strategy', 'Strategy', 'Sci-fi', '4X']",2016-05-09,659.0,70,2199.0,₹,"Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities.",Very Positive,115211,1540.0
EA SPORTS FC™ 24,https://cdn.cloudflare.steamstatic.com/steam/apps/2195250/header.jpg?t=1713799333,"['Football (Soccer)', 'Sports', 'Controller', 'Multiplayer', 'PvP']",2023-09-28,699.0,80,3499.0,₹,"EA SPORTS FC™ 24 welcomes you to The World’s Game: the most true-to-football experience ever with HyperMotionV, PlayStyles optimised by Opta, and an enhanced Frostbite™ Engine.",Mixed,58721,2800.0
Dying Light,https://cdn.cloudflare.steamstatic.com/steam/apps/239140/header.jpg?t=1715341001,"['Zombies', 'Survival Horror', 'Horror', 'Online Co-Op', 'Open World']",2021-07-15,90.0,85,599.0,₹,"First-person action survival game set in a post-apocalyptic open world overrun by flesh-hungry zombies. Roam a city devastated by a mysterious virus epidemic. Scavenge for supplies, craft weapons, and face hordes of the infected.",Overwhelmingly Positive,299482,509.0
ANIMAL WELL,https://cdn.cloudflare.steamstatic.com/steam/apps/813230/header.jpg?t=1715425583,"['Exploration', 'Metroidvania', 'Puzzle', 'Puzzle Platformer', 'Platformer']",2024-05-09,990.0,10,1100.0,₹,"Explore a dense, interconnected labyrinth, and unravel its many secrets. Collect items to manipulate your environment in surprising and meaningful ways. Encounter beautiful and unsettling creatures, as you attempt to survive what lurks in the dark. There is more than what you see.",Overwhelmingly Positive,2240,110.0
Hades,https://cdn.cloudflare.steamstatic.com/steam/apps/1145360/header.jpg?t=1702510146,"['Action Roguelike', 'Roguelite', 'Hack and Slash', 'Indie', 'Mythology']",2020-09-17,374.0,66,1100.0,₹,"Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre.",Overwhelmingly Positive,233817,726.0
DARK SOULS™ III,https://cdn.cloudflare.steamstatic.com/steam/apps/374320/header.jpg?t=1700587390,"['Souls-like', 'Dark Fantasy', 'Difficult', 'RPG', 'Atmospheric']",2016-04-11,2149.0,50,4299.0,₹,"Dark Souls continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. 

Prepare yourself and Embrace The Darkness!",Very Positive,242531,2150.0
Hearts of Iron IV,https://cdn.cloudflare.steamstatic.com/steam/apps/394360/header.jpg?t=1715273819,"['Strategy', 'World War II', 'Grand Strategy', 'War', 'Historical']",2016-06-06,809.0,70,2699.0,₹,"Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history.",Very Positive,205513,1890.0
Crusader Kings III,https://cdn.cloudflare.steamstatic.com/steam/apps/1158310/header_alt_assets_4.jpg?t=1715275928,"['Strategy', 'Medieval', 'Simulation', 'Grand Strategy', 'RPG']",2020-09-01,1079.0,60,2699.0,₹,"Love, fight, scheme, and claim greatness. Determine your noble house’s legacy in the sprawling grand strategy of Crusader Kings III. Death is only the beginning as you guide your dynasty’s bloodline in the rich and larger-than-life simulation of the Middle Ages.",Very Positive,69264,1620.0
"Little Kitty, Big City",https://cdn.cloudflare.steamstatic.com/steam/apps/1177980/header.jpg?t=1715495651,"['Cats', 'Cute', 'Wholesome', 'Exploration', 'Family Friendly']",2024-05-09,990.0,10,1100.0,₹,"You're a curious little kitty with a big personality, on an adventure to find your way back home. Explore the city, make new friends with stray animals, wear delightful hats, and leave more than a little chaos in your wake. After all, isn't that what cats do best?",Very Positive,1563,110.0
Europa Universalis IV,https://cdn.cloudflare.steamstatic.com/steam/apps/236850/header.jpg?t=1715184174,"['Grand Strategy', 'Strategy', 'Historical', 'Simulation', '4X']",2013-08-13,659.0,70,2199.0,₹,"Europa Universalis IV gives you control of a nation through four dramatic centuries. Rule your land and dominate the world with unparalleled freedom, depth and historical accuracy. Write a new history of the world and build an empire for the ages.",Very Positive,85077,1540.0
DARK SOULS™: REMASTERED,https://cdn.cloudflare.steamstatic.com/steam/apps/570940/header.jpg?t=1700659167,"['Souls-like', 'Dark Fantasy', 'RPG', 'Difficult', 'Action']",2018-05-24,1199.0,50,2399.0,₹,"Then, there was fire. Re-experience the critically acclaimed, genre-defining game that started it all. Beautifully remastered, return to Lordran in stunning high-definition detail running at 60fps.",Very Positive,65734,1200.0
